34,Rwanda,91,8.9,7.3,8.2,6.8,7.4,7,7.1,7.8,8.2,5.8,8.4,8,3.5,9.2,7.3
109,Samoa,69.5,7,2.7,4.8,8.3,6.6,5.9,6.2,4.7,4.2,5.5,5.1,8.6,2.8,9.3,1.2
96,Sao Tome,74.5,7.1,4.3,4.8,7.3,6.2,6.9,6.9,7,4.9,5.8,6.3,6.9,3.6,8.1,5.1
93,Saudi Arabia,75.2,6,5.8,7.5,3.2,7,3.4,7.9,4.2,8.9,7.5,7.9,5.9,2.2,5.9,8.1
85,Senegal,76.8,7.6,6.4,6.3,6,7.2,6.5,5.9,7.8,6.2,6.3,4.5,6.1,3.9,9.2,4.9
97,Serbia,74.4,5.3,6.4,7.5,5,6.5,5.7,6.5,4.9,5.3,6.5,8,6.8,0.9,5.9,5.8
119,Seychelles,67,5.8,3.9,4.8,4.9,6.6,5.4,6.8,4.1,5.8,6.1,5.7,7.1,1.7,5.9,0.5
30,Sierra Leone,92.1,8.9,7.5,6.5,8,8.5,8,7.7,8.8,6.7,6,7.9,7.6,3.9,9.9,5.4
157,Singapore,35.1,2.5,0.9,3,2.8,3.4,3.6,3.9,2,4.7,1.5,4,2.8,0.9,2.9,0.1
144,Slovakia,47.1,3.8,2.3,5,5.1,5.2,4.6,3.9,3.6,3.6,2.3,3.7,3.9,1.1,2.4,4
156,Slovenia,35.5,3.1,1.7,3.1,3.6,4.7,3.7,3,2.8,2.8,3,1.1,2.9,1.1,3,2.4
49,Solomon Islands,85.9,7.9,4.5,6.8,5.1,8,7.6,7.9,8.1,6.5,6.7,8,8.8,3.3,9.5,0.4
1,Somalia,113.4,9.7,10,9.5,8.2,8.4,9.3,9.8,9.4,9.7,10,9.8,9.7,4.5,10,7
117,South Africa,67.6,8.4,6.7,5.9,4.1,8.2,5.3,5.5,5.5,4.6,4.5,5.9,3,2.2,7.6,8
151,Spain,43.1,3.3,2.9,6,1.9,4.7,4.5,2.1,2.4,2.6,4.9,5.6,2.2,1,3.4,5.5
28,Sri Lanka,93.1,7,8.6,9.4,6.9,8.4,5.3,8.5,6.1,8.6,8,9.5,6.8,1.8,8.8,4.2
3,Sudan,108.7,8.5,9.6,9.9,8.2,9.1,6.4,9.4,9,9.7,9.6,9.9,9.5,3.5,8.3,5.7
105,Suriname,71.1,6,3.5,6.1,7,7.5,6.1,6.1,4.9,5.6,5.8,5.8,6.7,1.9,6.8,0.1
61,Swaziland,82.5,9.2,4.6,3.9,5.9,6.5,7.8,8.5,7.5,8.2,6.6,7,6.9,3.1,8.9,7.1
175,Sweden,22.8,2.8,2.9,1.3,2,2.2,1.9,0.9,1.5,1.6,2.3,1.8,1.6,1.2,1,0.8
174,Switzerland,23.2,2.1,1.9,3.5,2.1,2.8,2.4,1,1.6,2,1.4,1,1.4,1,1.6,3.9
39,Tajikistan,88.3,7.7,5.9,7.2,6,6.8,7.4,8.9,6.9,8.5,7.4,8.6,7,3,8.8,3.5
65,Tanzania,81.3,8.1,7.4,6.1,5.8,6.3,7.4,6.5,8.6,6.2,5.5,6,7.4,4.1,9.7,4.2
79,Thailand,78.3,6.4,6.6,8,4.4,7.2,4,8.4,5,7.3,7.6,8.5,4.9,1.2,7.8,4.1
23,Timor-Leste,94.9,8.5,8,7.1,5.8,7.3,7.9,8.8,8.7,6.8,8.3,8.3,9.3,4,10,2.5
36,Togo,89.4,8.1,6.5,5.4,7,7.9,8,8,8.5,7.7,7.3,7.8,7.1,3.8,9.7,6.7
124,Trinidad and Tobago,63.7,5.3,3.2,4.7,7.7,6.9,4.5,5.5,4.9,5.1,5.5,5.6,4.8,1.5,5.1,1.1
108,Tunisia,70.1,5.5,3.4,5.6,5.2,6.6,5,7.2,5.3,7.7,7,6.8,4.8,1.9,6.3,6.5
103,Turkey,71.5,5.9,6,8.3,4.5,7.4,5.5,5.9,5.7,5.2,4,7.5,5.6,1.8,6,5.1
75,Turkmenistan,79.7,6.5,4.2,6.6,5.1,7.1,6,8.4,6.7,8.7,7.5,7.7,5.2,2.2,9.7,7.2
110,Ukraine,69,5.3,3.1,6.5,6.3,5.9,6,7.4,4.1,5.5,4,8,6.8,1.1,7.7,7.1
138,United Arab Emirates,50.4,4.1,2.8,4.6,3,5.4,4.2,6.5,3.3,5.7,3,3.6,4.1,1.2,3.2,0.5
159,United Kingdom,34.1,2.9,3.3,4.4,2.1,4.2,3.3,1.4,2.2,2,2.7,3.6,1.9,1.3,1.5,7.1
158,United States,34.8,3.4,2.9,3.6,1.1,5.4,3.7,2.2,2.7,3.3,1.6,3.6,1.3,1.3,2.8,4.5
40,Uzbekistan,88.3,7.3,5.7,7.4,6.3,8.2,6.8,8.4,6,9,8.5,8.7,6,2.3,8.4,6.3
80,Venezuela,78.2,6,4.8,7,6.4,7.3,6.1,7.5,5.8,7.4,7,7.3,5.5,2.1,6.3,2.4
88,Vietnam,76.1,6.7,5,5.7,5.7,6.2,6.1,7.5,6.4,7.7,6,6.9,6.1,1.7,6.9,3.5
13,Yemen,100.3,8.7,8.4,8.6,6.9,8.3,7.7,8.6,8.7,7.7,9.3,9.3,8.2,3.5,8.8,4.5
55,Zambia,83.8,8.9,7.6,5.7,6.8,7.3,7.7,7.6,7.8,6.1,5.3,5.8,7.3,4.2,9,3.2
6,Zimbabwe,107.9,9.3,8.2,9,9.3,9.2,9,9.3,9,9.2,9,9.6,7.8,3.6,9.4,4.2
